notion_id;discipline_id;libelle;description;document
MUS_CHANTER;MUS;Chanter et interpréter;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/mus_chanter.md
MUS_ECOUTER;MUS;Écoute musicale;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/mus_ecouter.md
MUS_CREER;MUS;Création musicale;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/mus_creer.md
MUS_ARGUMENTER;MUS;Échange et argumentation musicale;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/mus_argumenter.md
HG_CHRETIENTES_ISLAM;HG;Chrétientés et islam au Moyen Âge;Repères sur les mondes chrétien et musulman médiévaux.;rappels/histoire_geographie/chretientes_islam.md
HG_SOCIETE_FEODALE;HG;Société féodale et Église;Organisation des sociétés rurales et urbaines de l’Occident médiéval.;rappels/histoire_geographie/societe_feodale.md
HG_RENAISSANCE_REFORMES;HG;Renaissance, réformes et ouverture du monde;Transformations culturelles, religieuses et politiques des XVe-XVIIe siècles.;rappels/histoire_geographie/renaissance_reformes.md
GEO_DEMOGRAPHIE_DEVELOPPEMENT;HG;Démographie et développement;Croissance démographique, développement et inégalités.;rappels/histoire_geographie/demographie_developpement.md
GEO_RESSOURCES;HG;Ressources et développement durable;Gestion de l’eau, de l’énergie et des ressources.;rappels/histoire_geographie/ressources.md
GEO_RISQUES_CHANGEMENT_GLOBAL;HG;Risques et changement global;Vulnérabilités, prévention et adaptation au changement global.;rappels/histoire_geographie/risques_changement_global.md
HG_LUMIERES_REVOLUTIONS;HG;Lumières, révolutions et empires;Repères sur le XVIIIe siècle, les Lumières et les révolutions.;rappels/histoire_geographie/lumieres_revolutions.md
HG_INDUSTRIALISATION_XIX;HG;Industrialisation et société au XIXe siècle;Transformations économiques, sociales et politiques du XIXe siècle.;rappels/histoire_geographie/industrialisation_xix.md
HG_FRANCE_XIX;HG;France politique et société au XIXe siècle;Construction de la République et évolutions de la société française.;rappels/histoire_geographie/france_xix.md
GEO_URBANISATION_MONDE;HG;Urbanisation du monde;Croissance urbaine, métropolisation et paysages urbains.;rappels/histoire_geographie/urbanisation_monde.md
GEO_MOBILITES_TRANSNATIONALES;HG;Mobilités humaines transnationales;Migrations internationales et tourisme.;rappels/histoire_geographie/mobilites_transnationales.md
GEO_MONDIALISATION_ESPACES;HG;Espaces de la mondialisation;Mers, littoraux et territoires transformés par la mondialisation.;rappels/histoire_geographie/mondialisation_espaces.md
HG_GUERRES_TOTALES;HG;Guerres totales et totalitarismes;Première et Seconde Guerres mondiales et régimes totalitaires.;rappels/histoire_geographie/guerres_totales.md
HG_MONDE_DEPUIS_1945;HG;Le monde depuis 1945;Décolonisation, guerre froide et nouveaux équilibres mondiaux.;rappels/histoire_geographie/monde_depuis_1945.md
HG_REPUBLIQUE_FRANCE_CONTEMPORAINE;HG;République et société françaises depuis 1944;Évolutions politiques, sociales et institutionnelles de la France contemporaine.;rappels/histoire_geographie/republique_france_contemporaine.md
GEO_FRANCE_DYNAMIQUES_TERRITORIALES;HG;Dynamiques territoriales de la France;Aires urbaines, espaces productifs et espaces de faible densité.;rappels/histoire_geographie/france_dynamiques_territoriales.md
GEO_AMENAGEMENT_TERRITOIRE;HG;Aménagement du territoire;Acteurs, enjeux et inégalités territoriales.;rappels/histoire_geographie/amenagement_territoire.md
GEO_FRANCE_UE;HG;France et Union européenne;Territoire français dans l’Union européenne et dans le monde.;rappels/histoire_geographie/france_ue.md
EMC_EGALITE_SOLIDARITE;EMC;Égalité, fraternité et solidarité;Principes d’égalité, de fraternité, de solidarité et lutte contre les discriminations.;rappels/emc/egalite_solidarite.md
EMC_DROITS_LIBERTES;EMC;Droits et libertés;Libertés fondamentales, droits et responsabilités.;rappels/emc/droits_libertes.md
EMC_DEMOCRATIE_CITOYENNETE;EMC;Démocratie et citoyenneté;Institutions, participation civique et exercice de la citoyenneté.;rappels/emc/democratie_citoyennete.md
PC_MATIERE_TRANSFORMATIONS;PC;Organisation et transformations de la matière;États, mélanges, transformations physiques et chimiques, structure de la matière.;rappels/physique_chimie/matiere_transformations.md
PC_MOUVEMENTS_INTERACTIONS;PC;Mouvements et interactions;Mouvement, vitesse, forces et interactions.;rappels/physique_chimie/mouvements_interactions.md
PC_ENERGIE_CONVERSIONS;PC;Énergie et conversions;Formes, transferts et conversions de l’énergie.;rappels/physique_chimie/energie_conversions.md
PC_SIGNAUX;PC;Signaux, lumière et son;Propagation, émission et réception de signaux lumineux et sonores.;rappels/physique_chimie/signaux.md
SVT_TERRE_ENVIRONNEMENT;SVT;Planète Terre, environnement et action humaine;Dynamique de la Terre, climat, ressources, risques et action humaine.;rappels/svt/terre_environnement.md
SVT_VIVANT_EVOLUTION;SVT;Vivant et évolution;Biodiversité, reproduction, génétique et évolution du vivant.;rappels/svt/vivant_evolution.md
SVT_CORPS_SANTE;SVT;Corps humain et santé;Fonctionnement du corps, comportements et santé.;rappels/svt/corps_sante.md
TECH_USAGES_INTERACTIONS;TECH;Usages et interactions des objets techniques;Besoins, usages, impacts et évolution des objets et systèmes techniques.;rappels/technologie/usages_interactions.md
TECH_STRUCTURE_FONCTIONNEMENT;TECH;Structure et fonctionnement des systèmes techniques;Organisation interne, énergie, données et fonctionnement des objets techniques.;rappels/technologie/structure_fonctionnement.md
TECH_CREATION_CONCEPTION;TECH;Création et conception technologique;Concevoir, réaliser, programmer et améliorer un objet ou système technique.;rappels/technologie/creation_conception.md
FRA_LYCEE_FRA_01;FRA;Lecture et interprétation;Repères essentiels au lycée : Lecture et interprétation;rappels/lycee/fra_lycee_fra_01.md
FRA_LYCEE_FRA_02;FRA;Écriture et argumentation;Repères essentiels au lycée : Écriture et argumentation;rappels/lycee/fra_lycee_fra_02.md
FRA_LYCEE_FRA_03;FRA;Langue et expression;Repères essentiels au lycée : Langue et expression;rappels/lycee/fra_lycee_fra_03.md
HG_LYCEE_HG_01;HG;Sociétés et pouvoirs;Repères essentiels au lycée : Sociétés et pouvoirs;rappels/lycee/hg_lycee_hg_01.md
HG_LYCEE_HG_02;HG;Territoires et mondialisation;Repères essentiels au lycée : Territoires et mondialisation;rappels/lycee/hg_lycee_hg_02.md
HG_LYCEE_HG_03;HG;Environnement et mobilités;Repères essentiels au lycée : Environnement et mobilités;rappels/lycee/hg_lycee_hg_03.md
EMC_LYCEE_EMC_01;EMC;Liberté;Repères essentiels au lycée : Liberté;rappels/lycee/emc_lycee_emc_01.md
EMC_LYCEE_EMC_02;EMC;Société;Repères essentiels au lycée : Société;rappels/lycee/emc_lycee_emc_02.md
EMC_LYCEE_EMC_03;EMC;Démocratie et citoyenneté;Repères essentiels au lycée : Démocratie et citoyenneté;rappels/lycee/emc_lycee_emc_03.md
LVE_LYCEE_LVE_01;LVE;Compréhension et réception;Repères essentiels au lycée : Compréhension et réception;rappels/lycee/lve_lycee_lve_01.md
LVE_LYCEE_LVE_02;LVE;Expression et interaction;Repères essentiels au lycée : Expression et interaction;rappels/lycee/lve_lycee_lve_02.md
LVE_LYCEE_LVE_03;LVE;Repères culturels et interculturels;Repères essentiels au lycée : Repères culturels et interculturels;rappels/lycee/lve_lycee_lve_03.md
EPS_LYCEE_EPS_01;EPS;Réaliser une performance;Repères essentiels au lycée : Réaliser une performance;rappels/lycee/eps_lycee_eps_01.md
EPS_LYCEE_EPS_02;EPS;Adapter ses déplacements;Repères essentiels au lycée : Adapter ses déplacements;rappels/lycee/eps_lycee_eps_02.md
EPS_LYCEE_EPS_03;EPS;Conduire et maîtriser un affrontement;Repères essentiels au lycée : Conduire et maîtriser un affrontement;rappels/lycee/eps_lycee_eps_03.md
PC_LYCEE_PC_01;PC;Constitution et transformations de la matière;Repères essentiels au lycée : Constitution et transformations de la matière;rappels/lycee/pc_lycee_pc_01.md
PC_LYCEE_PC_02;PC;Mouvement et interactions;Repères essentiels au lycée : Mouvement et interactions;rappels/lycee/pc_lycee_pc_02.md
PC_LYCEE_PC_03;PC;Ondes et signaux;Repères essentiels au lycée : Ondes et signaux;rappels/lycee/pc_lycee_pc_03.md
SVT_LYCEE_SVT_01;SVT;Terre, vie et évolution;Repères essentiels au lycée : Terre, vie et évolution;rappels/lycee/svt_lycee_svt_01.md
SVT_LYCEE_SVT_02;SVT;Enjeux contemporains de la planète;Repères essentiels au lycée : Enjeux contemporains de la planète;rappels/lycee/svt_lycee_svt_02.md
SVT_LYCEE_SVT_03;SVT;Corps humain et santé;Repères essentiels au lycée : Corps humain et santé;rappels/lycee/svt_lycee_svt_03.md
SES_LYCEE_SES_01;SES;Économie;Repères essentiels au lycée : Économie;rappels/lycee/ses_lycee_ses_01.md
SES_LYCEE_SES_02;SES;Sociologie;Repères essentiels au lycée : Sociologie;rappels/lycee/ses_lycee_ses_02.md
SES_LYCEE_SES_03;SES;Science politique et regards croisés;Repères essentiels au lycée : Science politique et regards croisés;rappels/lycee/ses_lycee_ses_03.md
NUM_LYCEE_SNT_01;NUM;Internet et Web;Repères essentiels au lycée : Internet et Web;rappels/lycee/num_lycee_snt_01.md
NUM_LYCEE_SNT_02;NUM;Données et informatique;Repères essentiels au lycée : Données et informatique;rappels/lycee/num_lycee_snt_02.md
NUM_LYCEE_SNT_03;NUM;Réseaux sociaux et objets connectés;Repères essentiels au lycée : Réseaux sociaux et objets connectés;rappels/lycee/num_lycee_snt_03.md
SCI_LYCEE_ENS_01;SCI;Science, climat et énergie;Repères essentiels au lycée : Science, climat et énergie;rappels/lycee/sci_lycee_ens_01.md
SCI_LYCEE_ENS_02;SCI;Histoire et méthodes des sciences;Repères essentiels au lycée : Histoire et méthodes des sciences;rappels/lycee/sci_lycee_ens_02.md
SCI_LYCEE_ENS_03;SCI;Numérique et connaissance scientifique;Repères essentiels au lycée : Numérique et connaissance scientifique;rappels/lycee/sci_lycee_ens_03.md
PHILO_LYCEE_01;PHILO;Existence et culture;Repères essentiels au lycée : Existence et culture;rappels/lycee/philo_lycee_01.md
PHILO_LYCEE_02;PHILO;Morale et politique;Repères essentiels au lycée : Morale et politique;rappels/lycee/philo_lycee_02.md
PHILO_LYCEE_03;PHILO;Connaissance et raison;Repères essentiels au lycée : Connaissance et raison;rappels/lycee/philo_lycee_03.md
HG_LYCEE_HGGSP_01;HG;Puissances et conflits;Repères essentiels au lycée : Puissances et conflits;rappels/lycee/hg_lycee_hggsp_01.md
HG_LYCEE_HGGSP_02;HG;Information et opinion;Repères essentiels au lycée : Information et opinion;rappels/lycee/hg_lycee_hggsp_02.md
HG_LYCEE_HGGSP_03;HG;Environnement et patrimoine;Repères essentiels au lycée : Environnement et patrimoine;rappels/lycee/hg_lycee_hggsp_03.md
FRA_LYCEE_HLP_01;FRA;Pouvoirs de la parole;Repères essentiels au lycée : Pouvoirs de la parole;rappels/lycee/fra_lycee_hlp_01.md
FRA_LYCEE_HLP_02;FRA;Représentations du monde;Repères essentiels au lycée : Représentations du monde;rappels/lycee/fra_lycee_hlp_02.md
FRA_LYCEE_HLP_03;FRA;Humanité en question;Repères essentiels au lycée : Humanité en question;rappels/lycee/fra_lycee_hlp_03.md
LVE_LYCEE_LLCER_01;LVE;Langue et communication;Repères essentiels au lycée : Langue et communication;rappels/lycee/lve_lycee_llcer_01.md
LVE_LYCEE_LLCER_02;LVE;Littérature et arts;Repères essentiels au lycée : Littérature et arts;rappels/lycee/lve_lycee_llcer_02.md
LVE_LYCEE_LLCER_03;LVE;Cultures et sociétés;Repères essentiels au lycée : Cultures et sociétés;rappels/lycee/lve_lycee_llcer_03.md
NUM_LYCEE_NSI_01;NUM;Données et algorithmique;Repères essentiels au lycée : Données et algorithmique;rappels/lycee/num_lycee_nsi_01.md
NUM_LYCEE_NSI_02;NUM;Architectures et réseaux;Repères essentiels au lycée : Architectures et réseaux;rappels/lycee/num_lycee_nsi_02.md
NUM_LYCEE_NSI_03;NUM;Langages et programmation;Repères essentiels au lycée : Langages et programmation;rappels/lycee/num_lycee_nsi_03.md
PC_PC_SPEC_2019_01;PC;Matière et transformations;Repères essentiels au lycée : Matière et transformations;rappels/lycee/pc_pc_spec_2019_01.md
PC_PC_SPEC_2019_02;PC;Mouvement, énergie et interactions;Repères essentiels au lycée : Mouvement, énergie et interactions;rappels/lycee/pc_pc_spec_2019_02.md
PC_PC_SPEC_2019_03;PC;Ondes, signaux et mesures;Repères essentiels au lycée : Ondes, signaux et mesures;rappels/lycee/pc_pc_spec_2019_03.md
SVT_SVT_SPEC_2019_01;SVT;Génétique et évolution;Repères essentiels au lycée : Génétique et évolution;rappels/lycee/svt_svt_spec_2019_01.md
SVT_SVT_SPEC_2019_02;SVT;Enjeux planétaires contemporains;Repères essentiels au lycée : Enjeux planétaires contemporains;rappels/lycee/svt_svt_spec_2019_02.md
SVT_SVT_SPEC_2019_03;SVT;Corps humain et santé;Repères essentiels au lycée : Corps humain et santé;rappels/lycee/svt_svt_spec_2019_03.md
TECH_LYCEE_SI_01;TECH;Analyser les systèmes;Repères essentiels au lycée : Analyser les systèmes;rappels/lycee/tech_lycee_si_01.md
TECH_LYCEE_SI_02;TECH;Modéliser et simuler;Repères essentiels au lycée : Modéliser et simuler;rappels/lycee/tech_lycee_si_02.md
TECH_LYCEE_SI_03;TECH;Concevoir et expérimenter;Repères essentiels au lycée : Concevoir et expérimenter;rappels/lycee/tech_lycee_si_03.md
SES_SES_SPEC_2019_01;SES;Science économique;Repères essentiels au lycée : Science économique;rappels/lycee/ses_ses_spec_2019_01.md
SES_SES_SPEC_2019_02;SES;Sociologie et science politique;Repères essentiels au lycée : Sociologie et science politique;rappels/lycee/ses_ses_spec_2019_02.md
SES_SES_SPEC_2019_03;SES;Regards croisés;Repères essentiels au lycée : Regards croisés;rappels/lycee/ses_ses_spec_2019_03.md
ARTS_LYCEE_ARTS_01;ARTS;Pratique et création;Repères essentiels au lycée : Pratique et création;rappels/lycee/arts_lycee_arts_01.md
ARTS_LYCEE_ARTS_02;ARTS;Culture artistique;Repères essentiels au lycée : Culture artistique;rappels/lycee/arts_lycee_arts_02.md
ARTS_LYCEE_ARTS_03;ARTS;Projet et présentation;Repères essentiels au lycée : Projet et présentation;rappels/lycee/arts_lycee_arts_03.md
EPS_LYCEE_EPPCS_01;EPS;Pratique physique et performance;Repères essentiels au lycée : Pratique physique et performance;rappels/lycee/eps_lycee_eppcs_01.md
EPS_LYCEE_EPPCS_02;EPS;Culture sportive;Repères essentiels au lycée : Culture sportive;rappels/lycee/eps_lycee_eppcs_02.md
EPS_LYCEE_EPPCS_03;EPS;Projet et analyse de pratique;Repères essentiels au lycée : Projet et analyse de pratique;rappels/lycee/eps_lycee_eppcs_03.md
